,data_peso_predito,idGalpao,nroLote,day,peso_predito,sexo,qtde,mort,km,idIntegrador,granja,nucleo,aviario,qtdInicial,consumo,lucro,custo,custoAlimentar
9,2024-10-07,1880103,84160,37.0,2.6390985217718494,m,17901.0,-21.0,11.2,SSA,188,1,3,19000.0,4.705023977971267,34935.65962817412,177702.8447465346,231219.51
9,2024-10-07,1880104,84158,37.0,2.3185637956694505,f,19314.0,-14.0,11.2,SSA,188,1,4,20000.0,3.9044985439631934,32412.08714810852,169146.02876606002,225295.21
9,2024-10-07,1970101,84518,38.0,2.475670533216954,x,19442.0,-20.0,36.8,SSA,197,1,1,21000.0,4.130082164522039,24614.233091986534,192027.8381751384,233396.42000000004
9,2024-10-07,1970102,84519,38.0,2.4260448050390138,x,18524.0,-20.0,36.8,SSA,197,1,2,21000.0,4.132990887753127,16252.497323736694,186022.68558867398,230115.74
9,2024-10-07,1990101,84080,41.0,2.555884333537706,f,21257.0,-19.0,12.7,SSA,199,1,1,22000.0,4.100187571650556,40642.09598458547,203899.18419974216,254649.22
9,2024-10-07,1990102,84081,41.0,2.9283646794614144,m,20113.0,-30.0,12.7,SSA,199,1,2,21000.0,4.6172143080234616,53659.97548178202,211440.81730804945,258096.97999999998
9,2024-10-07,1990103,84082,41.0,2.7525264497721293,m,19360.0,-30.0,12.7,SSA,199,1,3,21000.0,4.420053246718255,41522.90515799142,198330.4880582241,268386.6699999999
9,2024-10-07,1990104,84083,41.0,2.647100396785136,x,10109.0,-16.0,12.7,SSA,199,1,4,10700.0,4.235496356726056,29495.470612537814,90949.20952532752,506006.9
9,2024-10-07,2100101,84143,39.0,2.168954517104352,x,19675.0,-23.0,10.9,SSA,210,1,1,21000.0,3.350495498454668,44749.298335864296,147327.18640238632,227650.08000000002
9,2024-10-07,2100102,84144,39.0,2.1359152463652498,f,20571.0,-15.0,10.9,SSA,210,1,2,21500.0,3.3394540528065146,29540.217762312095,168224.32654862886,222649.76000000004
9,2024-10-07,2100103,84147,39.0,2.6331529759775076,f,20464.0,-15.0,10.9,SSA,210,1,3,21500.0,4.149175109379141,43665.187428818754,198870.48866549841,218757.44000000003
9,2024-10-07,2100204,84148,39.0,2.182060379688187,f,20771.0,-15.0,10.9,SSA,210,2,4,21500.0,3.6389104680418867,22735.87594854695,181265.5402868646,230134.92
9,2024-10-07,2100205,84149,39.0,2.5073652622342157,m,18816.0,-24.0,10.9,SSA,210,2,5,20500.0,4.261768188265159,24293.456562046602,188057.35350662313,231664.9
9,2024-10-07,2100206,84150,39.0,2.7284542893804233,m,19355.0,-24.0,10.9,SSA,210,2,6,20500.0,4.622059745962789,33834.13150321311,203860.22519886927,243224.65
9,2024-10-07,2100207,84151,39.0,2.715229938830328,m,18059.0,-24.0,10.9,SSA,210,2,7,20500.0,4.600614371953203,27092.738811810705,193610.8141196707,246671.65000000002
9,2024-10-07,2370101,84089,39.0,2.368249303148086,f,19336.0,-15.0,38.6,SSA,237,1,1,21000.0,3.972668437041571,16856.862326298025,189255.0385077489,239444.75
9,2024-10-07,2370102,84092,39.0,2.6609830669602506,m,19414.0,-23.0,38.6,SSA,237,1,2,20000.0,4.315959218776499,31646.079174467828,200877.04482964252,254636.33000000005
9,2024-10-07,2450102,84033,42.0,2.7071047849045615,x,19306.0,-35.0,35.7,SSA,245,1,2,20000.0,4.6282540107447225,6129.941864799563,229107.4638983314,220398.52
9,2024-10-07,1700204,83816,42.0,2.847901540190373,m,30258.0,-53.0,39.6,SSA,170,2,4,31500.0,4.856273471619519,54407.364497035625,333451.92892162886,388318.57
9,2024-10-07,3010310,84128,38.0,2.1974547028848597,f,31146.0,-23.0,16.0,SSA,301,3,10,33000.0,3.4493333032543054,45742.639446197485,262314.46127021185,341059.6599999999
9,2024-10-07,3010312,84130,38.0,2.1803786542423214,f,31613.0,-23.0,16.0,SSA,301,3,12,33000.0,3.4337137242400155,46287.650192854984,263958.6749020729,334112.42000000004
9,2024-10-07,3840105,84034,45.0,3.062169443532095,x,39437.0,-126.0,13.4,SSA,384,1,5,42900.0,5.215175876171803,117352.31161392707,426200.9447130061,521723.0
9,2024-10-07,3840106,84035,45.0,3.057387209751404,x,39978.0,-125.0,13.4,SSA,384,1,6,42500.0,5.2083057192589814,121027.00856906926,429122.2360782896,1081827.0000000002
9,2024-10-07,3840107,84036,45.0,2.680395613067108,f,40794.0,-73.0,13.4,SSA,384,1,7,44000.0,4.7397049475189705,44885.23500390188,447272.37293230585,539938.77
9,2024-10-07,3840108,84037,45.0,3.014160303235611,m,38974.0,-123.0,13.4,SSA,384,1,8,43000.0,5.230601202186431,65581.61271926365,463168.33762676583,535274.22
9,2024-10-07,3840209,84038,45.0,2.6781998615347042,f,36566.0,-74.0,13.4,SSA,384,2,9,44500.0,4.829248281806164,15965.303853688412,424822.37981839944,499240.48
9,2024-10-07,3840210,84039,45.0,3.167436916001484,m,39733.0,-125.0,13.4,SSA,384,2,10,43500.0,5.4823182089666105,76956.22078655177,489502.60041012306,1074507.5000000002
9,2024-10-07,3840211,84030,45.0,2.447050099273853,f,39650.0,-74.0,13.4,SSA,384,2,11,44500.0,4.531486468834661,13370.177668806049,423341.76183056744,525773.13
9,2024-10-07,3840212,84031,45.0,3.2850626788867836,m,40544.0,-125.0,13.4,SSA,384,2,12,43500.0,5.8656436328966315,73379.10931844974,526107.1959003389,560815.78
9,2024-10-07,3840213,84052,44.0,2.8943682926325036,m,37590.0,-99.0,13.4,SSA,384,2,13,41500.0,4.732993756736639,78641.33411278995,411064.3337315813,519704.54
9,2024-10-07,3840214,84053,44.0,2.62018246605159,f,38229.0,-58.0,13.4,SSA,384,2,14,42400.0,4.302717957210444,60850.46212821931,390001.0045533635,988285.08
9,2024-10-07,3840215,84054,44.0,3.1162664061927825,m,36636.0,-96.0,13.4,SSA,384,2,15,40500.0,5.064153260204666,90392.63120766229,423475.44858614955,527655.58
9,2024-10-07,3840216,84055,44.0,2.6544879013988227,x,37978.0,-104.0,13.4,SSA,384,2,16,41800.0,4.491820931688854,89321.8859956874,364433.56298279215,2146549.8400000003
9,2024-10-07,3880101,84024,42.0,2.6494390990978296,f,39912.0,-43.0,10.7,SSA,388,1,1,44500.0,4.022407686359662,88351.21062451653,387604.39374317334,492674.13999999996
9,2024-10-07,3880102,84025,42.0,2.8550395240315813,m,38178.0,-73.0,10.7,SSA,388,1,2,43500.0,4.3904156827662115,94529.89715925197,396077.7478078463,483770.67
9,2024-10-07,3880103,84026,44.0,3.028212429133388,m,38698.0,-100.0,10.7,SSA,388,1,3,42000.0,5.415998832320931,57799.747442632506,469653.37894366746,1072957.42
9,2024-10-07,3880104,84022,44.0,2.6502614363911428,f,41224.0,-60.0,10.7,SSA,388,1,4,43500.0,4.645814576280409,51305.33818404813,440448.61473545386,515312.95999999996
9,2024-10-07,3880105,84027,44.0,2.7079754612958418,f,38881.0,-57.0,10.7,SSA,388,1,5,41500.0,4.434244750147146,72706.06091091235,401198.8004808946,508811.31999999995
9,2024-10-07,3880106,84023,44.0,3.264675410177889,m,39692.0,-100.0,10.7,SSA,388,1,6,42000.0,4.683254828390635,158774.9250382104,424471.3901716839,533745.68
9,2024-10-07,3880107,84028,42.0,2.265455319146129,f,39154.0,-43.0,10.7,SSA,388,1,7,44500.0,3.8268678605389783,31121.635153706186,368124.4355301736,1023436.22
9,2024-10-07,3880108,84029,42.0,2.628994018025586,m,40379.0,-73.0,10.7,SSA,388,1,8,43500.0,4.353523009115713,69413.1683871884,408395.6603046136,514442.61
9,2024-10-07,3900101,84145,38.0,2.486947544692861,m,30553.0,-35.0,44.4,SSA,390,1,1,32000.0,3.484155068074289,82280.30339761448,259722.36780922292,360372.24000000005
9,2024-10-07,3840104,84021,46.0,2.7947818397726705,f,40438.0,-90.0,13.4,SSA,384,1,4,44500.0,4.989774887663798,43118.20763673168,465564.0539165777,527009.44
9,2024-10-07,3010311,84129,38.0,2.543836593602464,m,29156.0,-35.0,16.0,SSA,301,3,11,32000.0,3.9885951777594695,57653.290415825846,276177.3264377277,344716.74000000005
9,2024-10-07,3820209,84105,41.0,2.7629574391302194,m,40584.0,-62.0,16.8,SSA,382,2,9,43000.0,4.645059835249645,73957.36923505424,430748.15382312913,464221.5899999999
9,2024-10-07,3820207,84103,41.0,2.831014618902639,m,40722.0,-62.0,16.8,SSA,382,2,7,43000.0,4.776716419566386,78044.22424349526,440851.65823310544,971303.2999999999
9,2024-10-07,3010413,84131,38.0,2.118303591381644,f,31546.0,-23.0,16.0,SSA,301,4,13,33000.0,3.299154591160293,44438.3761631159,256336.47076374188,342756.58
9,2024-10-07,3010414,84132,38.0,2.461654410950231,m,30570.0,-35.0,16.0,SSA,301,4,14,32000.0,3.8011238085188355,63934.55904809071,274778.18276962056,353427.5900000001
9,2024-10-07,3010415,84133,38.0,2.232667640188868,x,30073.0,-31.0,16.0,SSA,301,4,15,32500.0,3.483242272108382,68372.7515229561,233837.95423628655,689808.3600000001
9,2024-10-07,3010416,84134,38.0,2.532636229779174,m,30107.0,-35.0,16.0,SSA,301,4,16,32000.0,3.8958990490831864,65692.80058751069,277508.80485628644,364462.52999999997
9,2024-10-07,3090101,83825,44.0,3.1755656306465667,m,18643.0,-49.0,40.5,SSA,309,1,1,20500.0,5.2513349852207885,43272.30389989738,223196.21340480255,276510.44999999995
9,2024-10-07,3090102,83826,44.0,2.8102508832922597,f,20208.0,-29.0,40.5,SSA,309,1,2,21500.0,4.807166409122363,26695.50549160698,228914.25838130756,263645.43000000005
9,2024-10-07,3090103,83827,44.0,2.809021964456294,f,19377.0,-29.0,40.5,SSA,309,1,3,21000.0,4.792380423881593,24878.97890356378,220112.33523875475,255024.27
9,2024-10-07,3090104,83828,44.0,3.210091591317374,m,18705.0,-47.0,40.5,SSA,309,1,4,20000.0,5.311010030205036,46103.67803047298,224157.8012029043,266506.36
9,2024-10-07,3350101,83751,46.0,3.227718956301934,f,30261.0,-63.0,94.8,SSA,335,1,1,31400.0,5.69425993007158,48134.572123804304,391496.11689447006,372177.19
9,2024-10-07,3350102,83752,46.0,3.849932024123279,m,27852.0,-103.0,94.8,SSA,335,1,2,29800.0,6.380269738809398,83285.3992508353,399349.2093673677,384473.14
9,2024-10-07,3350104,83741,45.0,3.1527962597971224,f,28861.0,-50.0,94.8,SSA,335,1,4,30000.0,5.431086159199899,50379.097465556406,359179.73323031905,336530.87000000005
9,2024-10-07,3350105,83754,45.0,3.8012733910243006,m,29313.0,-89.0,94.8,SSA,335,1,5,31000.0,6.294118187205749,87584.20899095194,413947.48883588816,406223.79000000004
9,2024-10-07,3350106,83742,45.0,2.8371478290489973,f,30667.0,-53.0,94.8,SSA,335,1,6,32000.0,5.151438121612265,27631.106968567707,363986.555974411,377549.18
9,2024-10-07,3350107,83743,45.0,3.1747826038299407,m,28671.0,-89.0,94.8,SSA,335,1,7,31000.0,5.655847320791366,39733.822810862795,369966.0655360087,376703.10000000003
9,2024-10-07,3350110,83746,44.0,2.581398353126835,f,30648.0,-44.0,94.8,SSA,335,1,10,32000.0,4.532716736912059,28467.93035280687,327627.3196137604,375279.42999999993
